burger_name,burger_type,treatment_condition,overall_liking,sensory_hardness,sensory_chewiness,sensory_moistness,sensory_fibrousness,sensory_meatiness,sensory_fattiness,sensory_tastiness,sensory_softness,jar_moistness,jar_chewiness,jar_savoriness,jar_fattiness,jar_fibrousness
Turkey,Animal,Control,3,23.0,56.0,65.0,32.0,91.0,37.0,50.0,36.0,3,3,2,3,1
Bean,Plant,Control,1,54.0,50.0,25.0,75.0,,24.0,82.0,47.0,2,2,2,2,2
Bean,Plant,Treatment,2,36.0,61.0,36.0,53.0,17.0,20.0,88.0,81.0,2,2,2,1,2
Bean,Plant,Control,2,55.0,84.0,24.0,73.0,32.0,11.0,89.0,54.0,2,2,1,1,2
Bean,Plant,Treatment,3,56.0,59.0,66.0,21.0,52.0,35.0,54.0,46.0,3,2,2,2,1
Turkey,Animal,Control,3,63.0,73.0,39.0,24.0,77.0,54.0,73.0,48.0,1,2,2,2,2
Beyond,Plant,Treatment,6,26.0,54.0,46.0,48.0,48.0,52.0,47.0,53.0,2,2,2,1,3
Bean,Plant,Control,2,36.0,50.0,43.0,27.0,26.0,26.0,78.0,42.0,1,2,2,2,2
Turkey,Animal,Control,4,40.0,88.0,23.0,21.0,81.0,24.0,77.0,46.0,1,2,2,1,1
Turkey,Animal,Control,2,19.0,77.0,62.0,79.0,89.0,25.0,74.0,29.0,2,3,2,2,1
Bean,Plant,Control,3,89.0,83.0,54.0,19.0,10.0,10.0,61.0,34.0,1,2,1,1,2
Beef,Animal,Treatment,2,65.0,79.0,83.0,73.0,89.0,60.0,76.0,69.0,2,2,2,2,1
Bean,Plant,Control,6,48.0,50.0,29.0,45.0,45.0,36.0,36.0,51.0,3,1,3,2,3
Beef,Animal,Treatment,3,20.0,50.0,35.0,35.0,100.0,40.0,77.0,50.0,2,2,2,2,2
Turkey,Animal,Treatment,5,61.0,77.0,35.0,65.0,59.0,56.0,66.0,58.0,1,2,3,3,1
Beyond,Plant,Treatment,3,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,2,2,2,2,2
Beyond,Plant,Control,1,60.0,66.0,78.0,75.0,88.0,63.0,85.0,71.0,2,2,2,2,2
Beef,Animal,Treatment,3,39.0,25.0,28.0,28.0,18.0,28.0,55.0,18.0,2,2,2,2,1
Turkey,Animal,Control,5,51.0,74.0,29.0,,42.0,38.0,50.0,39.0,1,1,2,2,2
Beef,Animal,Treatment,4,17.0,69.0,24.0,13.0,100.0,10.0,49.0,81.0,1,3,2,1,2
Beef,Animal,Treatment,3,70.0,55.0,30.0,9.0,100.0,40.0,61.0,53.0,1,2,3,2,2
Bean,Plant,Treatment,2,35.0,41.0,20.0,57.0,45.0,38.0,,38.0,1,1,1,1,3
Beyond,Plant,Treatment,1,55.0,60.0,62.0,58.0,64.0,54.0,60.0,58.0,2,2,2,2,2
Turkey,Animal,Control,3,79.0,52.0,61.0,69.0,66.0,63.0,51.0,49.0,1,2,1,2,2
Turkey,Animal,Treatment,3,36.0,52.0,42.0,33.0,79.0,31.0,62.0,68.0,1,2,2,2,2
Beef,Animal,Control,2,46.0,82.0,71.0,52.0,82.0,70.0,89.0,58.0,2,3,2,2,2
Beyond,Plant,Treatment,6,26.0,19.0,15.0,42.0,33.0,29.0,46.0,29.0,1,1,1,1,1
Beyond,Plant,Control,3,26.0,77.0,62.0,29.0,27.0,64.0,67.0,71.0,2,2,2,3,2
Beef,Animal,Control,2,65.0,79.0,83.0,73.0,89.0,60.0,76.0,69.0,2,2,2,2,1
Beef,Animal,Treatment,2,56.0,80.0,60.0,65.0,79.0,64.0,69.0,65.0,1,2,2,2,2
Beef,Animal,Treatment,5,48.0,52.0,58.0,42.0,55.0,46.0,50.0,44.0,1,2,1,3,2
Beef,Animal,Treatment,3,78.0,75.0,72.0,47.0,76.0,67.0,73.0,78.0,2,2,2,2,1
