sample_id,burger_type,stiffness_kPa,hardness_N,cohesiveness,springiness,resilience,chewiness_N
burger_tpa_14f2423c2948,Bean,66.477,1.671,0.2558,0.526,0.8158,0.225
burger_tpa_f08d96ddb6bf,Bean,75.002,1.885,0.2692,0.4562,0.3662,0.231
burger_tpa_e18f9dbf3ec4,Turkey,331.838,8.34,0.5557,0.7726,0.335,3.581
burger_tpa_79d585f60811,Bean,109.747,2.758,0.2997,0.5858,0.7623,0.484
burger_tpa_c4c513bee60c,Bean,116.468,2.927,0.2863,0.4632,0.2485,0.388
burger_tpa_07e52ea185e7,Turkey,311.09,7.819,0.5734,0.8017,0.4408,3.594
burger_tpa_0716e151f284,Beyond,104.494,2.626,0.5958,0.6634,0.2767,1.038
burger_tpa_04996b46356d,Turkey,374.808,9.42,0.678,0.8333,0.4794,5.322
burger_tpa_9d9ae562a8d3,Bean,74.55,1.874,0.3495,0.36,0.3243,0.236
burger_tpa_ae916e0d9d76,Beyond,137.528,3.456,0.6183,0.7665,0.3324,1.638
burger_tpa_e19728700c56,Turkey,401.808,10.099,0.5866,0.8273,0.3693,4.901
burger_tpa_d0da403656cd,Bean,78.476,1.972,0.2455,0.3619,0.1628,0.175
burger_tpa_f8f12d941208,Turkey,248.34,6.241,0.763,0.8372,0.5446,3.987
burger_tpa_97924ff19aa9,Turkey,373.491,9.387,0.6366,0.8285,0.4561,4.951
burger_tpa_82a6188e3633,Turkey,223.432,5.615,0.5707,0.4584,0.3747,1.469
burger_tpa_ac082fedd8a5,Beyond,99.171,2.492,0.5111,0.5918,0.3179,0.754
burger_tpa_0d73ddb2afcc,Beyond,126.432,3.178,0.5449,0.7704,0.3505,1.334
burger_tpa_7c57c132ea0e,Turkey,401.123,10.081,0.6297,0.441,0.4882,2.8
burger_tpa_a12873817a8a,Turkey,382.173,9.605,0.6598,0.4923,0.4828,3.12
burger_tpa_526b85737896,Beef,147.882,3.717,0.5575,0.5522,0.3853,1.144
burger_tpa_ae4d5976e1f3,Beef,140.116,3.521,0.5094,0.4745,0.3656,0.851
burger_tpa_4a482bbf2b28,Turkey,436.797,10.978,0.7634,1.062,0.612,8.9
burger_tpa_eae4aed7cec9,Beef,89.587,2.252,0.5683,0.5785,0.3481,0.74
burger_tpa_9a948840b8ce,Beyond,134.125,3.371,0.4505,0.7049,0.2787,1.07
burger_tpa_357641b6c5ab,Beef,170.861,4.294,0.4976,0.6138,0.3968,1.311
burger_tpa_2f505ed84503,Bean,68.184,1.714,0.2594,0.3128,0.1941,0.139
burger_tpa_5edbf4154400,Bean,121.634,3.057,0.2319,0.3387,0.3399,0.24
burger_tpa_cb18117bd13f,Beyond,147.622,3.71,0.6732,0.8229,0.3165,2.055
burger_tpa_ea9b98384a03,Bean,99.999,2.513,0.2788,0.3457,0.2401,0.242
burger_tpa_5f6db870e0f5,Beyond,133.701,3.36,0.4465,0.6895,0.2836,1.035
burger_tpa_44e0fa9007ac,Beef,163.763,4.116,0.5455,0.5849,0.3493,1.313
burger_tpa_28f5c3d45fad,Beef,128.288,3.224,0.5377,0.5264,0.4152,0.913
burger_tpa_2c35d81031a7,Bean,165.92,4.17,0.2906,0.2851,0.1943,0.346
burger_tpa_e05d3f963cfc,Beyond,141.281,3.551,0.5821,0.6526,0.4226,1.349
burger_tpa_a447e51f4158,Beyond,174.482,4.385,0.4363,0.6531,0.292,1.25
burger_tpa_54331805ef1e,Beef,139.622,3.509,0.5227,0.5769,0.4146,1.058
burger_tpa_f1eba89f0c46,Beef,152.822,3.841,0.5209,0.538,0.3797,1.076
burger_tpa_e80c2902833d,Beef,122.65,3.083,0.5247,0.5318,0.3907,0.86
burger_tpa_590c99bd148a,Beyond,141.275,3.551,0.4485,0.6299,0.3037,1.003
burger_tpa_52250b699e44,Beef,263.242,6.616,0.4944,0.5965,0.3795,1.951
