Name,Description,RecipeIngredientQuantities,RecipeIngredientParts,AggregatedRating,ReviewCount,Calories,FatContent,SaturatedFatContent,CholesterolContent,SodiumContent,CarbohydrateContent,FiberContent,SugarContent,ProteinContent,RecipeServings,RecipeYield,RecipeInstructions,ingredients_raw,ingredients,iscurry,isomelette
Asparagus Omelet,Make and share this Asparagus Omelet recipe from Food.com.,"c(""1/2"", ""2"", ""1"", ""1/2"", ""4"", ""2"", ""1/4"", ""1/4"", ""1"")","c(""asparagus"", ""butter"", ""garlic"", ""mushroom"", ""eggs"", ""milk"", ""salt"", ""dried basil"", ""fresh basil"", ""black pepper"")",4.5,7.0,311.1,22.7,10.9,455.7,541.8,10.5,3.5,4.2,19.6,2.0,,"c(""Cut trimmed asparagus in 1 inch pieces; cook in boiling salted water until tender, about 4 minutes."", ""Drain thoroughly."", ""Melt 1 tablespoon butter in 8 inch skillet, preferably one with non-stick lining, and saute garlic and mushrooms until done and moisture has evaporated."", ""Remove from pan and keep warm."", ""In a small bowl, combine eggs, milk, salt, basil, and pepper."", ""Melt remaining butter in skillet until foamy, swirling it around pan to coat evenly."", ""When hot enough that a drop of water sizzles when dropped in, pour in egg mixture."", 
""Tip pan so eggs coat skillet evenly."", ""As eggs cook, periodically lift up cooked edges, tilt pan and let uncooked egg run underneath."", ""When eggs are cooked, but surface is still shiny, place asparagus and mushrooms on one side; slide out of pan, folding side without vegetables over top."", ""Serve immediately."", ""Also good sprinkled with a bit of grated Parmesan."")","[""1/2  lb   thin asparagus, trimmed "",""2   tablespoons    butter, divided "",""1   clove    garlic, minced "",""1/2  lb    mushroom, sliced "",""4       eggs, lightly beaten "",""2   tablespoons    milk"",""1/4  teaspoon    salt, to taste "",""1/4  teaspoon    dried basil, crushed  or 1   teaspoon   minced fresh basil (fresh preferred)"",""1   dash   freshly ground black pepper, to taste ""]",[],0,1
Snail Omelette / Cagouilles En Omelette,"An unusual French recipe.  If you can't get the fig leaf, no matter, substitue with some parsley.  Directions are given for live snails.  I would use canned or frozen prepared snails.  This was an adopted recipe which would be much faster and easier using prepared snails. Times given for recipe using prepared snails.","c(""50"", NA, NA, ""1"", ""6"")","c(""fennel"", ""eggs"")",,,110.2,7.5,2.3,317.2,105.0,0.6,0.0,0.6,9.4,4.0,,"c(""Preparation time 15 minutes."", ""Cooking time 1 hour."", ""Starve the snails and clean them well."", ""Cook them for 1 hour in boiling water with added salt, fennel and a fig leaf; drain and remove them from their shells."", ""Prepare an omelette mixture."", ""Beat the egg yolks and fold in the stiffly beaten whites."", ""Make an omelette in the usual way and fill with the snails."", ""Wine: red or white Haut-Poitou, Anjou or Touraine."")","[""50       petits-gris snails"",""  salt and pepper"",""  fennel"",""1       dried fig leaf"",""6       eggs, separated ""]",[],0,1
Jarlsberg Oven Omelet,"Found this recipe in the Food Section in the Chronicle newspaper quite awhile ago.  This dish is supposedly adapted from ""Omelettes, Souffles & Frittatas"", (Chronicle Books 1999).  NOTE:  I always make this omelet with Ham instead of Proscuitto, and always, always use Gruyere cheese.  Very easy dish to prepare, and tastes wonderful.","c(""4"", ""1/2"", ""1/4"", ""1"", ""1"", ""1  - 1 1/2"", ""1 1/4"", ""2"")","c(""eggs"", ""milk"", ""salt"", ""white pepper"", ""nutmeg"", ""prosciutto"", ""gruyere cheese"", ""swiss cheese"", ""butter"")",4.0,3.0,353.1,25.7,14.4,311.0,436.3,5.4,0.0,1.0,24.6,,,"c(""Preheat oven to 350."", ""Butter a 3-cup baking dish, about 6 inches in diameter."", ""Whisk the eggs in a large bowl until just blended."", ""Beat in the milk, salt, pepper, nutmeg, prosciutto and cheese."", ""Pour into the baking dish, drizzle melted butter over the top."", ""Bake for 20-30 minutes  , or until set and lightly browned."")","[""4       eggs"",""1/2  cup    milk"",""1/4  teaspoon    salt"",""1   dash   ground white pepper"",""1   dash    nutmeg"",""1 -1 1/2  ounce   thinly sliced prosciutto, cut into strips "",""1 1/4  cups   shredded gruyere cheese or 1 1/4  cups   shredded swiss cheese"",""2   teaspoons    butter, melted ""]","[""milk"", ""nutmeg"", ""prosciutto"", ""shredded gruyere cheese shredded swiss cheese"", ""butter""]",0,1
Sour Cream and Spinach Omelette,Make and share this Sour Cream and Spinach Omelette recipe from Food.com.,"c(""1"", ""6"", ""3"", NA, ""1"", ""1"", ""3"", ""1/2"")","c(""spinach"", ""eggs"", ""milk"", ""paprika"", ""chili powder"", ""butter"", ""margarine"", ""sour cream"")",3.5,6.0,541.0,44.8,22.9,636.9,607.9,11.6,4.8,3.5,26.2,,,"c(""Clean spinach then steam about 3 minutes."", ""Leaves will look limp but still green."", ""In a bowl combine eggs, milk, spices, blend well with a fork."", ""In a pan melt 1 tbs butter, heat, add part of the egg mixture (2 eggs are intented for 1 person you can scale it to your wants and needs)."", ""Add spinachleaves, as many as you like, flip omelette carefully over to brown other side."", ""Put on a plate, spread sourcream to your taste, close omelette, and serve."", ""Extremeley delicious if you love spinach and sour cream.""
)","[""1   bunch    spinach"",""6       eggs"",""3   tablespoons    milk"",""  salt and pepper"",""1   dash    paprika"",""1   dash    chili powder"",""3   tablespoons    butter or 3   tablespoons    margarine"",""1/2  cup    sour cream""]",[],0,1
Danish Omelet,"This was a regular Sat night dinner served with good crusty bread. It has a heavier texture than a French omelet, more like a frittata. Good for lunch or Brunch   I often use  slivered ham steak  on top instead of the bacon or the streaky pork - just a bit less fat","c(""12"", ""6"", ""3"", ""3/4"", NA, NA, ""4"")","c(""pork"", ""bacon"", ""eggs"", ""flour"", ""milk"", ""chives"", ""tomatoes"")",5.0,5.0,363.2,17.6,6.3,396.8,183.8,12.0,1.6,3.8,37.5,,,"c(""Fry the Pork (bacon) until golden brown (crisp)."", ""Remove from fry pan."", ""Pour off half the drippings."", ""Mix flour with the milk until smooth."", ""Add eggs, Salt& Pepper, Beat well."", ""Pour egg mixture into the fry pan."", ""Arrange the pork (bacon) and tomatoes on top of the egg mixture."", ""Cook for about 10 min, lifting the edges to allow egg mixture to run underneath."", ""Cook until the omelette is set but still moist on top."", ""Sprinkle with chives& serve."")","[""12   ounces   streaky pork, thinly sliced  or 12   ounces    bacon, thickly sliced "",""6       eggs"",""3   tablespoons    flour"",""3/4  cup    milk"",""  salt and pepper"","" chopped chives"",""4   medium    tomatoes, quartered ""]","[""streaky pork bacon"", ""flour"", ""milk"", ""salt pepper"", ""chopped chives"", ""medium tomatoes""]",0,1
Cheese Omelette,Make and share this Cheese Omelette recipe from Food.com.,"c(""2"", ""2"", NA, ""1"")","c(""eggs"", ""cheese"", ""butter"")",3.5,4.0,340.8,28.3,14.7,471.3,490.3,3.1,0.0,0.8,18.2,1.0,,"c(""Whisk the eggs till light and fluffy."", ""Add cheese, salt and pepper."", ""Mix well."", ""Heat a 7 inch non-stick skillet and add butter."", ""As the butter begins to smoke, lower heat and pour the beaten egg mixture."", ""Cook covered for a minute."", ""Fold over and serve immediately."")","[""2       eggs"",""2   tablespoons    cheese, grated "",""  salt and pepper"",""1   tablespoon    butter""]","[""cheese grated"", ""salt pepper""]",0,1
Spinach & Feta Baked 'Omelette',"This dish is so easy, but looks & tastes like you went to alot of trouble. I won't tell anyone if you won't! Actually, you can throw anything in this recipe that you would put in an omelette. Great for lunch or Sunday brunch!","c(""12"", ""1"", ""1/2"", ""3/4"", ""1/2"", ""6"", NA, NA, NA)","c(""fresh spinach"", ""onion"", ""fresh mushrooms"", ""feta cheese"", ""mozzarella cheese"", ""eggs"", ""olive oil"", ""yogurt"")",3.0,1.0,259.6,17.0,8.4,353.3,581.5,8.2,2.5,3.4,19.5,4.0,,"c(""Preheat oven to 350 degrees."", ""Heat olive oil to medium-high& add onion- saute until opaque, then add mushrooms (if using) and then spinach& saute just until spinach is wilted."", ""Grease 9\"" square casserole dish with some olive oil (or spray with cooking spray) Beat eggs& add salt& pepper to taste."", ""Add crumbled feta and spinach mixture to eggs."", ""Pour into casserole dish& top with mozzarella."", ""Bake at 350 degrees for approx."", ""30 minutes."", ""Cool about 5 minutes, then cut into 4 servings."", 
""Serve with fruit and some plain yogurt on the side (mix in some dried dill or parsley for color)."")","[""12   ounces    fresh spinach"",""1       onion"",""1/2  cup    fresh mushrooms, sliced "",""3/4  cup    feta cheese"",""1/2  cup    mozzarella cheese"",""6       eggs"",""  olive oil"",""  salt and pepper"",""  yogurt""]","[""fresh spinach"", ""fresh mushrooms"", ""feta cheese"", ""mozzarella cheese"", ""olive oil"", ""salt pepper""]",0,1
Ham and Cheese Omelet Roll,Make and share this Ham and Cheese Omelet Roll recipe from Food.com.,"c(""4"", ""3/4"", ""2"", ""1/4"", ""12"", ""2"", ""2 1/4"", ""2"", ""1/2"")","c(""cream cheese"", ""milk"", ""all-purpose flour"", ""salt"", ""eggs"", ""Dijon mustard"", ""cheddar cheese"", ""swiss cheese"", ""cooked ham"", ""green onion"")",5.0,3.0,268.0,19.7,9.7,241.9,331.4,3.1,0.2,0.7,19.0,12.0,,"c(""Line the bottom and sides of a greased 15x10x1-inch baking pan with parchment paper; grease the paper and set aside."", ""In a small mixing bowl, beat cream cheese and milk until smooth."", ""Add flour and salt; mix until combined."", ""In a large mixing bowl, beat the eggs until blended."", ""Add the cream cheese mixture; mix well and pour into prepared pan."", ""Bake at 375°F oven for 30-35 minutes or until eggs or puffed and set."", ""Remove from oven."", ""Immediately spread with mustard and sprinkle with 1 cup of cheese."", 
""Sprinkle with ham, onions and 1 more cup of cheese."", ""Roll up the omelet from a short side."", ""Peeling parchment paper away while rolling,  sprinkle top of roll with remaining cheese and bake 3 to 4 minutes longer, or until cheese is melted."")","[""4   ounces    cream cheese, softened "",""3/4  cup    milk"",""2   tablespoons    all-purpose flour"",""1/4  teaspoon    salt"",""12       eggs"",""2   tablespoons    Dijon mustard"",""2 1/4  cups   shredded cheddar cheese or 2 1/4  cups   shredded swiss cheese, divided "",""2   cups   finely chopped cooked ham"",""1/2  cup   thinly sliced green onion""]","[""cream cheese"", ""milk"", ""all"", ""Dijon mustard"", ""shredded cheddar cheese shredded swiss cheese"", ""chopped cooked ham"", ""sliced green onion""]",0,1
Mushroom-omelette roll,Make and share this Mushroom-omelette roll recipe from Food.com.,"c(""6"", ""1/2"", ""1/8"", ""1"", ""1/2"", ""3"", ""1"", ""2 -3"", NA, NA, NA, NA, NA)","c(""eggs"", ""milk"", ""wheat flour"", ""salt"", ""white pepper"", ""butter"", ""onions"", ""salt"", ""black pepper"", ""basil"", ""thyme"", ""creme fraiche"", ""cheese"")",,,287.1,17.2,8.7,286.6,654.8,19.9,2.7,3.7,15.3,5.0,,"c(""Preheat the oven to 200° C."", ""To prepare the batter, first mix the flour in the milk."", ""Beat the eggs in a separate bowl and add to the flour and milk mixture."", ""Spice with salt and white pepper."", ""Line a high-edged baking plate with greaseproof paper and pour the omelette batter on the paper."", ""Bake in the oven until light brown."", ""Overturn the omelette on another piece of greaseproof paper and remove the paper from the bottom."", ""Chop the onions for the filling."", ""Fry the chopped mushrooms in hot oil, add the onions and let cook until the liquid has nearly evaporated."", 
""Spice with salt and pepper, and, if you like, basil or thyme."", ""(In case you prefer the filling to be more saucelike, add a little cream to the mixture and let cook for a while)."", ""Check the taste."", ""Spread the mixture on the omelette and roll the sheet up."", ""Carefully move the roll on a greased ovenproof plate and sprinkle grated cheese on top."", ""Heat the omelette roll in 200° C before serving."")","[""6       eggs"",""1/2  liter    milk"",""1/8  liter    wheat flour"",""1   teaspoon    salt"",""1/2  teaspoon    white pepper"",""3   tablespoons    butter, margarine or cooking oil "",""1   liter    chanterelle mushroom, hedgehog mushrooms,ceps "",""2 -3       onions"",""  salt"",""  black pepper"",""  basil or   thyme"",""  cream or   creme fraiche"","" grated cheese""]",[],0,1
Vegan Omelet,Make and share this Vegan Omelet recipe from Food.com.,"c(NA, ""1"", ""1"", ""3"", NA, ""1"", NA, ""1"", ""1"", ""1"", ""1"", ""1/2"", ""1"")","c(""tofu"", ""green bell pepper"", ""red bell pepper"", ""green onions"", ""tomatoes"", ""soy cheddar cheese"", ""lemon pepper seasoning"", ""turmeric"", ""nutritional yeast"", ""water"", ""olive oil"", ""margarine"")",4.5,4.0,27.0,0.3,0.1,0.0,6.2,5.2,2.0,2.1,1.9,,,"c(""Crumble tofu (I like to use a plastic bag, but it can be done in the skillet with a masher)."", ""Add red and green peppers, mushrooms, tomato and onion to tofu in skillet."", ""Add water and lemon pepper seasoning."", ""Cover with medium high heat for 10 minutes (This is what gives it the rich texture)."", ""Stir and add Braggs and nutritional yeast and turmeric (for color)."", ""Stir again and add grated soy cheese."", ""Turn off heat, Cover for 2 minutes or until cheese melts and enjoy!"")","[""  tofu (firm or soft)"",""1   small    green bell pepper, diced "",""1   small    red bell pepper, diced "",""3   stalks    green onions, diced "","" fresh sliced mushrooms"",""1   small    tomatoes, diced "",""  soy cheddar cheese, shredded "",""1   teaspoon    lemon pepper seasoning"",""1   teaspoon    turmeric"",""1   tablespoon    Braggs Aminos"",""1   tablespoon    nutritional yeast"",""1/2  cup    water"",""1   teaspoon    olive oil or 1/8  cup    margarine""]",[],0,1
