sample_id,product,angular_frequency,storage_modulus,loss_modulus,tan_delta,temperature
cheese_rheo_4e2a0a130dcc,dairy_feta,40.0,1949690,643572.0,0.330089,25
cheese_rheo_ea0a03a926f1,plant_cheddar,0.798103,444658,32528.7,0.0731546,25
cheese_rheo_c8b760392806,plant_feta,25.2383,313004,56677.6,0.181076,25
cheese_rheo_882c53b17985,dairy_mozzarella,0.503572,200867,65990.8,0.32853,25
cheese_rheo_caf5fd7a2800,plant_feta,0.798103,150437,141482.0,0.940473,25
cheese_rheo_efba4e3bce95,dairy_cheddar,31.7731,1049950,377028.0,0.359093,25
cheese_rheo_e594cc002175,plant_mozzarella,10.0476,411711,80605.0,0.19578,25
cheese_rheo_ea0a03a926f1,plant_cheddar,0.633961,442703,32174.4,0.0726773,25
cheese_rheo_80ff05481ad9,plant_feta,15.9242,491369,429794.0,0.874687,25
cheese_rheo_4e2a0a130dcc,dairy_feta,0.1,674920,194738.0,0.288534,25
cheese_rheo_2d5fd8e35091,dairy_feta,0.503572,959533,272939.0,0.28445,25
cheese_rheo_8c9adf1d7529,plant_cheddar,25.1188,451794,58146.9,0.128702,25
cheese_rheo_c8b760392806,plant_feta,0.126491,266925,72284.2,0.270803,25
cheese_rheo_ea72985b5acd,plant_mozzarella,0.252383,407504,55270.3,0.135631,25
cheese_rheo_8c9adf1d7529,plant_cheddar,3.98105,410864,55295.6,0.134584,25
cheese_rheo_8c9adf1d7529,plant_cheddar,25.1188,451794,58146.9,0.128702,25
cheese_rheo_1bc1642eb7eb,plant_feta,12.6492,373678,163352.0,0.437146,25
cheese_rheo_c8b760392806,plant_feta,4.00003,304065,62361.3,0.205092,25
cheese_rheo_8a12f8c4da2d,plant_mozzarella,6.33961,420903,77076.0,0.18312,25
cheese_rheo_7236086d1bf4,dairy_cheddar,0.503572,468788,168585.0,0.359619,25
cheese_rheo_4746b314b0d2,dairy_cheddar,0.1,425007,156306.0,0.367774,25
cheese_rheo_8a12f8c4da2d,plant_mozzarella,0.1,384098,66978.9,0.17438,25
cheese_rheo_2d5fd8e35091,dairy_feta,3.17733,1288250,372559.0,0.289199,25
cheese_rheo_2d5fd8e35091,dairy_feta,0.126491,764744,218352.0,0.285523,25
cheese_rheo_1bc1642eb7eb,plant_feta,1.00476,269207,132081.0,0.49063,25
cheese_rheo_f999dd55b81a,plant_mozzarella,25.2383,664916,93164.8,0.140115,25
cheese_rheo_4746b314b0d2,dairy_cheddar,3.17733,628102,223155.0,0.355284,25
cheese_rheo_1bc1642eb7eb,plant_feta,1.26491,277037,134712.0,0.486262,25
cheese_rheo_f999dd55b81a,plant_mozzarella,0.798103,583605,80174.6,0.137378,25
cheese_rheo_4746b314b0d2,dairy_cheddar,25.2383,757014,307660.0,0.406412,25
cheese_rheo_43f61c34f7b2,dairy_mozzarella,4.00003,294986,94679.0,0.320961,25
cheese_rheo_c8b760392806,plant_feta,2.52384,298291,63251.6,0.212047,25
cheese_rheo_3d3025531656,dairy_mozzarella,0.200475,207843,72454.5,0.348602,25
cheese_rheo_8a12f8c4da2d,plant_mozzarella,0.4,384575,68775.7,0.178835,25
cheese_rheo_6c53f905caa7,plant_feta,0.200475,230724,206344.0,0.894334,25
cheese_rheo_ffe0014387aa,plant_cheddar,0.398107,298097,67816.5,0.227498,25
cheese_rheo_f999dd55b81a,plant_mozzarella,12.6492,651091,90941.2,0.139675,25
cheese_rheo_8c9adf1d7529,plant_cheddar,15.849,441296,57125.0,0.129448,25
cheese_rheo_efba4e3bce95,dairy_cheddar,20.0475,993780,345560.0,0.347723,25
cheese_rheo_9e358f6dde22,dairy_feta,0.159243,417941,125716.0,0.300798,25
cheese_rheo_1bc1642eb7eb,plant_feta,0.200475,213711,105492.0,0.493622,25
cheese_rheo_43f61c34f7b2,dairy_mozzarella,6.33961,315562,101760.0,0.322472,25
cheese_rheo_ffe0014387aa,plant_cheddar,3.98105,322435,66358.4,0.205804,25
cheese_rheo_ffe0014387aa,plant_cheddar,0.316228,298202,67922.8,0.227774,25
cheese_rheo_ea0a03a926f1,plant_cheddar,1.59243,450951,33351.6,0.0739585,25
cheese_rheo_8c9adf1d7529,plant_cheddar,1.25892,390300,52652.1,0.134902,25
cheese_rheo_8c9adf1d7529,plant_cheddar,0.15849,366370,52651.0,0.14371,25
cheese_rheo_8a12f8c4da2d,plant_mozzarella,0.200475,381157,68648.5,0.180106,25
cheese_rheo_4746b314b0d2,dairy_cheddar,1.26491,570302,199413.0,0.349663,25
cheese_rheo_7236086d1bf4,dairy_cheddar,1.00476,516637,182291.0,0.352841,25
cheese_rheo_c8b760392806,plant_feta,12.6492,316441,59801.2,0.188981,25
cheese_rheo_9e358f6dde22,dairy_feta,0.1,383473,117149.0,0.305493,25
cheese_rheo_4e15653d79b9,plant_cheddar,3.17733,465271,38568.1,0.0828938,25
cheese_rheo_887f199562ea,dairy_cheddar,0.1,346112,131838.0,0.38091,25
cheese_rheo_f999dd55b81a,plant_mozzarella,0.159243,566767,79654.8,0.140542,25
cheese_rheo_ea0a03a926f1,plant_cheddar,2.52384,456139,34636.9,0.075935,25
cheese_rheo_7236086d1bf4,dairy_cheddar,2.52384,586321,203835.0,0.347651,25
cheese_rheo_480b1108b018,dairy_feta,0.798103,985905,291642.0,0.295812,25
cheese_rheo_e594cc002175,plant_mozzarella,3.17733,388286,76429.5,0.196838,25
cheese_rheo_887f199562ea,dairy_cheddar,1.26491,437863,173694.0,0.396687,25
cheese_rheo_9e358f6dde22,dairy_feta,15.9242,973204,305967.0,0.314391,25
cheese_rheo_b383986cc83e,plant_cheddar,7.98103,470149,43188.3,0.0918609,25
cheese_rheo_1bc1642eb7eb,plant_feta,0.159243,204709,100786.0,0.492337,25
cheese_rheo_8f07b1ed90e6,plant_mozzarella,0.633961,439545,65315.4,0.148598,25
cheese_rheo_8f07b1ed90e6,plant_mozzarella,10.0476,485875,75634.9,0.155668,25
cheese_rheo_4746b314b0d2,dairy_cheddar,0.200475,464857,165957.0,0.357006,25
cheese_rheo_480b1108b018,dairy_feta,0.317731,846907,248943.0,0.293944,25
cheese_rheo_e594cc002175,plant_mozzarella,0.317731,358265,70722.0,0.197402,25
cheese_rheo_8a12f8c4da2d,plant_mozzarella,1.00476,392316,70753.5,0.180348,25
cheese_rheo_9e358f6dde22,dairy_feta,5.03577,780044,238215.0,0.305386,25
cheese_rheo_43f61c34f7b2,dairy_mozzarella,0.317731,202450,71217.2,0.351777,25
cheese_rheo_f999dd55b81a,plant_mozzarella,0.100476,565735,79336.5,0.140236,25
cheese_rheo_2d5fd8e35091,dairy_feta,6.33961,1443250,422122.0,0.29248,25
cheese_rheo_ffe0014387aa,plant_cheddar,1.0,303328,66879.9,0.220487,25
cheese_rheo_4e15653d79b9,plant_cheddar,2.52384,462248,37604.5,0.0813515,25
cheese_rheo_ea0a03a926f1,plant_cheddar,0.503572,440984,32179.1,0.0729712,25
cheese_rheo_ffe0014387aa,plant_cheddar,39.8105,357070,61341.3,0.171791,25
cheese_rheo_ba444256711d,dairy_feta,1.26491,1405160,408589.0,0.290777,25
cheese_rheo_4e2a0a130dcc,dairy_feta,4.00003,1311790,382853.0,0.291856,25
cheese_rheo_4746b314b0d2,dairy_cheddar,2.52384,613442,216798.0,0.353413,25
cheese_rheo_c8b760392806,plant_feta,0.317731,277200,68469.3,0.247003,25
cheese_rheo_4e2a0a130dcc,dairy_feta,0.317731,863769,244253.0,0.282775,25
cheese_rheo_4746b314b0d2,dairy_cheddar,1.59243,584126,204956.0,0.350877,25
cheese_rheo_ffe0014387aa,plant_cheddar,15.849,346581,63804.3,0.184097,25
cheese_rheo_4e2a0a130dcc,dairy_feta,15.9242,1650310,504766.0,0.305862,25
cheese_rheo_6c53f905caa7,plant_feta,4.00003,343180,308614.0,0.899278,25
cheese_rheo_6c53f905caa7,plant_feta,20.0475,456761,362849.0,0.794396,25
cheese_rheo_c8b760392806,plant_feta,31.7731,305848,55406.3,0.181156,25
cheese_rheo_480b1108b018,dairy_feta,0.4,881644,258458.0,0.293155,25
cheese_rheo_9e358f6dde22,dairy_feta,1.59243,634123,190990.0,0.301187,25
cheese_rheo_9e358f6dde22,dairy_feta,3.17733,716829,217118.0,0.302887,25
cheese_rheo_b383986cc83e,plant_cheddar,20.0475,484201,48476.0,0.100115,25
cheese_rheo_e594cc002175,plant_mozzarella,0.126491,355741,69934.2,0.196587,25
