participant_id,cheese_type,product,presentation_order,overall_liking,chewiness,hardness,moisture,graininess,dairy_flavor,fattiness,tastiness,softness,jar_moisture,jar_firmness,jar_saltiness,jar_fattiness,jar_sharpness,jar_creaminess
cheese_bb3fa6c49391,mozzarella,plant_based,2,9.0,33.0,31.0,33.0,67.0,15.0,53.0,59.0,69.0,2,3,3,2,3,2
cheese_5acbd539fdb9,feta,plant_based,1,2.33,14.0,11.0,81.0,46.0,51.0,53.0,49.0,91.0,1,4,4,4,4,5
cheese_56978fa7ccf6,mozzarella,plant_based,2,9.0,55.0,13.0,48.0,23.0,4.0,61.0,7.0,78.0,2,3,3,4,3,3
cheese_7c005c303484,feta,dairy,1,3.67,47.0,32.0,66.0,43.0,75.0,76.0,79.0,58.0,3,3,4,3,4,4
cheese_ba9fa046ccad,mozzarella,dairy,2,9.0,48.0,34.0,66.0,23.0,100.0,65.0,100.0,69.0,3,3,3,3,3,3
cheese_4d3ec63bdde4,cheddar,dairy,1,9.0,68.0,43.0,64.0,18.0,100.0,60.0,83.0,61.0,2,4,3,3,3,4
cheese_aea64e2f923b,mozzarella,dairy,2,6.33,54.0,53.0,55.0,17.0,81.0,64.0,72.0,63.0,4,3,3,4,2,3
cheese_f5878f06c8e6,feta,dairy,1,9.0,,,,,,,,12.0,3,2,3,3,3,3
cheese_5c7a16bfa768,cheddar,plant_based,2,5.0,,40.0,,,,,,,1,1,3,2,1,1
cheese_4ef7f02458e9,feta,dairy,1,9.0,21.0,62.0,73.0,33.0,86.0,49.0,91.0,24.0,3,3,3,4,3,3
cheese_e1157fec0ee7,mozzarella,plant_based,2,9.0,14.0,25.0,33.0,1.0,60.0,62.0,66.0,34.0,2,3,3,3,3,3
cheese_7b89e21b5e2d,cheddar,plant_based,2,1.0,39.0,65.0,4.0,21.0,,,,,3,2,3,2,2,3
cheese_b1708bac7171,mozzarella,dairy,1,5.0,66.0,100.0,52.0,52.0,89.0,53.0,72.0,,5,1,5,2,5,1
cheese_816a302e12a5,mozzarella,dairy,2,6.33,46.0,54.0,71.0,,,,,,3,2,3,3,3,3
cheese_da98dcecbc92,feta,plant_based,2,9.0,0.0,0.0,70.0,10.0,83.0,64.0,81.0,100.0,1,3,3,3,2,4
cheese_be77e6396ba6,feta,dairy,2,2.33,29.0,34.0,76.0,25.0,69.0,47.0,95.0,60.0,3,3,4,3,3,3
cheese_a7d9de0b0f09,mozzarella,plant_based,2,6.33,39.0,50.0,41.0,37.0,50.0,45.0,46.0,35.0,4,3,3,2,3,3
cheese_ecfa2bc7ab0d,mozzarella,plant_based,2,1.0,19.0,74.0,29.0,54.0,4.0,53.0,0.0,61.0,4,2,1,2,5,2
cheese_37778cb3f248,mozzarella,dairy,2,9.0,49.0,52.0,72.0,,,,,,3,3,3,3,3,3
cheese_7984c7e017b4,mozzarella,plant_based,2,1.0,,,,,,,,,5,1,1,1,1,1
cheese_d8ef96c9b545,feta,dairy,1,9.0,53.0,30.0,66.0,47.0,80.0,68.0,76.0,48.0,4,3,4,3,3,4
cheese_4f6ade873a97,mozzarella,plant_based,2,1.0,12.0,57.0,51.0,45.0,66.0,65.0,77.0,51.0,3,3,3,5,4,3
cheese_ad58fffbf850,feta,plant_based,1,1.0,16.0,17.0,89.0,41.0,47.0,47.0,49.0,90.0,1,4,5,4,4,5
cheese_aebcfdfc37e7,mozzarella,plant_based,1,1.0,63.0,6.0,49.0,28.0,12.0,50.0,7.0,78.0,1,3,3,4,3,3
cheese_a7d9de0b0f09,mozzarella,dairy,1,9.0,76.0,5.0,55.0,26.0,83.0,76.0,57.0,89.0,3,3,3,3,3,3
cheese_5b9ecef2b7f5,cheddar,dairy,1,1.0,51.0,52.0,61.0,45.0,55.0,51.0,55.0,52.0,2,2,2,2,2,2
cheese_5b702bf03c78,feta,plant_based,2,5.0,3.0,13.0,7.0,0.0,,30.0,0.0,84.0,4,1,2,1,1,1
cheese_6dd9fa1d8e6b,mozzarella,plant_based,1,6.33,35.0,55.0,56.0,17.0,21.0,13.0,47.0,59.0,3,3,3,3,2,3
cheese_aebcfdfc37e7,mozzarella,dairy,2,6.33,50.0,45.0,56.0,14.0,100.0,45.0,92.0,51.0,2,3,4,3,3,3
cheese_f23f5a509218,mozzarella,dairy,1,7.67,60.0,30.0,50.0,0.0,93.0,61.0,75.0,2.0,3,3,2,3,3,3
cheese_3b235f2ae60e,feta,dairy,2,7.67,48.0,50.0,54.0,56.0,84.0,68.0,50.0,60.0,2,3,5,4,5,4
cheese_ee066e8f87a8,cheddar,plant_based,2,1.0,8.0,24.0,,9.0,,,,27.0,2,2,2,2,5,1
cheese_265afb3681f2,feta,dairy,1,6.33,26.0,17.0,64.0,8.0,87.0,66.0,82.0,88.0,3,4,3,3,3,3
cheese_6dd9fa1d8e6b,mozzarella,dairy,2,9.0,57.0,51.0,57.0,20.0,87.0,73.0,74.0,62.0,3,3,3,3,2,3
cheese_8b9659260df2,cheddar,plant_based,1,1.0,35.0,66.0,64.0,70.0,19.0,0.0,20.0,72.0,3,2,2,3,2,3
cheese_1aea28e664f7,mozzarella,dairy,2,9.0,26.0,7.0,26.0,,86.0,53.0,79.0,15.0,2,3,3,2,3,3
cheese_c6f8ececc469,feta,dairy,1,9.0,0.0,,91.0,,100.0,81.0,96.0,92.0,3,3,4,3,3,3
cheese_6a50c6baf706,cheddar,plant_based,1,1.0,6.0,46.0,15.0,42.0,22.0,9.0,31.0,47.0,2,1,2,2,2,3
cheese_7d5cb4fcc9be,mozzarella,dairy,1,7.67,90.0,11.0,63.0,3.0,91.0,73.0,67.0,11.0,3,3,2,3,2,3
cheese_dbe0d5cb36fb,mozzarella,plant_based,1,2.33,20.0,72.0,29.0,63.0,35.0,23.0,16.0,13.0,4,2,3,1,3,1
cheese_3084ae4a9743,mozzarella,plant_based,1,6.33,32.0,62.0,54.0,74.0,57.0,19.0,73.0,23.0,3,3,4,2,4,2
cheese_e4a11d4896c6,feta,plant_based,2,9.0,53.0,55.0,83.0,43.0,73.0,51.0,45.0,28.0,2,4,2,3,2,4
cheese_724e31312a29,mozzarella,plant_based,2,2.33,54.0,6.0,55.0,26.0,2.0,55.0,7.0,80.0,2,3,3,4,3,3
cheese_de74b0a07018,feta,plant_based,2,9.0,9.0,32.0,66.0,60.0,30.0,53.0,47.0,42.0,3,2,3,2,3,2
cheese_ceb8f6822466,feta,dairy,2,7.67,24.0,30.0,86.0,31.0,70.0,47.0,87.0,52.0,3,3,3,3,3,2
cheese_8c63adc00116,cheddar,dairy,1,3.67,51.0,50.0,47.0,11.0,100.0,55.0,100.0,51.0,3,3,4,3,3,3
cheese_381b6f0efe57,mozzarella,dairy,1,9.0,45.0,69.0,73.0,,,,,,3,3,3,3,3,3
cheese_b04db5156c6f,cheddar,plant_based,1,3.67,40.0,64.0,0.0,19.0,,,,,3,2,3,2,2,3
cheese_36656f0eb541,feta,plant_based,1,9.0,,,95.0,,90.0,87.0,100.0,91.0,1,5,3,3,3,3
cheese_52ac975e8e9d,cheddar,dairy,1,9.0,62.0,39.0,94.0,11.0,85.0,75.0,78.0,86.0,2,3,3,3,3,3
cheese_209dada7b60f,mozzarella,plant_based,1,5.0,54.0,51.0,63.0,67.0,62.0,68.0,58.0,74.0,4,3,1,3,2,2
cheese_9e94f196e3fb,feta,plant_based,2,6.33,12.0,9.0,77.0,40.0,49.0,54.0,49.0,94.0,1,4,4,4,4,5
cheese_4cceea25bdff,feta,dairy,1,7.67,6.0,33.0,1.0,73.0,45.0,13.0,98.0,13.0,3,3,2,3,3,3
cheese_4d2da98491db,cheddar,plant_based,1,3.67,43.0,41.0,46.0,14.0,14.0,28.0,13.0,45.0,3,2,2,3,2,3
cheese_61eb5062cee9,mozzarella,plant_based,1,6.33,36.0,48.0,37.0,34.0,47.0,47.0,46.0,43.0,4,3,3,2,3,3
cheese_328ec907f3b3,cheddar,dairy,1,3.67,56.0,35.0,64.0,88.0,83.0,100.0,79.0,84.0,3,4,3,4,3,3
cheese_f23f5a509218,mozzarella,plant_based,2,3.67,40.0,40.0,54.0,,33.0,49.0,45.0,82.0,2,2,2,3,2,4
cheese_746d13f811ce,feta,plant_based,1,9.0,1.0,3.0,67.0,19.0,78.0,71.0,81.0,100.0,1,3,3,4,2,4
cheese_c60ac3ff0735,cheddar,plant_based,1,5.0,52.0,59.0,43.0,26.0,,,45.0,61.0,3,4,1,2,1,3
cheese_fca5a84a7d38,feta,plant_based,2,6.33,45.0,90.0,51.0,84.0,8.0,34.0,14.0,72.0,5,1,2,1,5,4
cheese_2ad87f491c2b,cheddar,plant_based,2,1.0,58.0,49.0,41.0,24.0,,,45.0,54.0,3,4,1,2,1,3
cheese_6985a27b5958,feta,plant_based,2,1.0,2.0,3.0,15.0,0.0,,34.0,0.0,85.0,5,1,2,1,1,1
cheese_a1015a9d1bbd,mozzarella,dairy,2,9.0,87.0,68.0,20.0,27.0,76.0,97.0,82.0,84.0,3,3,3,2,4,3
cheese_aea64e2f923b,mozzarella,plant_based,1,9.0,20.0,53.0,51.0,9.0,15.0,14.0,47.0,66.0,3,3,3,3,2,3
cheese_655b968303d2,cheddar,plant_based,2,1.0,6.0,8.0,69.0,3.0,49.0,47.0,33.0,62.0,3,2,1,3,1,3
cheese_07a7af57e85b,cheddar,plant_based,2,1.0,46.0,67.0,22.0,74.0,19.0,23.0,31.0,22.0,4,2,2,3,4,2
cheese_2ad87f491c2b,cheddar,dairy,1,9.0,64.0,68.0,65.0,42.0,100.0,70.0,97.0,70.0,3,3,3,3,2,4
cheese_afa6fbec6987,cheddar,dairy,2,7.67,70.0,61.0,66.0,41.0,93.0,63.0,100.0,61.0,3,4,3,3,2,4
cheese_fc1a24d9fa19,feta,dairy,1,6.33,49.0,58.0,57.0,45.0,89.0,69.0,59.0,71.0,4,3,3,3,3,3
cheese_fc1a24d9fa19,feta,plant_based,2,5.0,39.0,31.0,75.0,34.0,71.0,63.0,61.0,33.0,3,2,3,3,3,3
cheese_3f54aa302fc6,feta,plant_based,2,5.0,44.0,13.0,67.0,71.0,62.0,52.0,21.0,88.0,1,3,3,3,3,4
cheese_80d158377444,feta,plant_based,2,9.0,,,94.0,,94.0,90.0,100.0,78.0,1,5,3,3,3,3
cheese_9aa34d88a556,mozzarella,dairy,2,1.0,41.0,24.0,46.0,0.0,95.0,82.0,58.0,90.0,3,3,2,4,2,3
cheese_c5ad7d71ab54,feta,dairy,1,7.67,49.0,41.0,79.0,41.0,68.0,77.0,69.0,55.0,3,3,4,2,4,4
cheese_24a940e3f2dc,feta,dairy,1,6.33,35.0,28.0,85.0,34.0,62.0,51.0,86.0,57.0,3,3,3,3,2,3
cheese_c6f8ececc469,feta,plant_based,2,6.33,,,86.0,,93.0,91.0,100.0,85.0,1,5,3,3,3,3
cheese_7d5cb4fcc9be,mozzarella,plant_based,2,6.33,13.0,71.0,63.0,19.0,39.0,21.0,16.0,22.0,5,1,3,1,4,3
cheese_f3771b948d0f,feta,plant_based,2,9.0,,,89.0,,91.0,87.0,100.0,83.0,1,5,3,3,3,3
cheese_ca05bc0d8632,cheddar,dairy,2,9.0,1.0,27.0,55.0,63.0,95.0,100.0,100.0,42.0,3,3,3,4,3,3
cheese_d739f92a366c,mozzarella,plant_based,2,1.0,67.0,34.0,70.0,29.0,44.0,60.0,28.0,76.0,3,2,3,3,2,3
cheese_320a6c2477c7,mozzarella,plant_based,1,6.33,0.0,12.0,100.0,6.0,89.0,77.0,86.0,100.0,2,5,3,3,3,5
cheese_c631c9343917,cheddar,dairy,2,5.0,24.0,37.0,67.0,2.0,95.0,73.0,70.0,69.0,3,3,3,3,3,3
cheese_ca05bc0d8632,cheddar,plant_based,1,5.0,48.0,58.0,8.0,79.0,,11.0,30.0,49.0,4,1,4,2,2,1
cheese_73f1a381cb46,cheddar,dairy,1,6.33,100.0,34.0,100.0,,95.0,81.0,74.0,68.0,3,3,3,3,2,3
cheese_75a4ae81ec47,mozzarella,dairy,2,9.0,35.0,60.0,58.0,,,,,,3,3,3,3,3,3
cheese_9f9415b1e1a1,cheddar,dairy,1,7.67,53.0,32.0,60.0,84.0,82.0,100.0,79.0,88.0,3,4,3,4,3,3
cheese_eee1e80f79f5,cheddar,plant_based,2,5.0,,43.0,,,,,,,1,1,3,2,1,1
cheese_52a218d356dc,mozzarella,dairy,1,9.0,45.0,,50.0,,100.0,84.0,100.0,47.0,3,3,3,3,3,3
cheese_8e502067cf76,feta,dairy,1,7.67,0.0,4.0,85.0,0.0,89.0,66.0,77.0,93.0,3,3,3,3,3,3
cheese_99cefd0b2834,mozzarella,dairy,1,6.33,42.0,54.0,48.0,0.0,98.0,56.0,97.0,52.0,3,3,3,3,3,3
cheese_229e2105dd2d,mozzarella,plant_based,2,1.0,8.0,66.0,55.0,23.0,33.0,19.0,16.0,23.0,5,1,3,1,4,3
cheese_209dada7b60f,mozzarella,dairy,2,6.33,43.0,53.0,70.0,,,,,,3,3,3,3,3,3
cheese_e09f821a348f,cheddar,plant_based,2,2.33,,32.0,,,,,,,1,1,3,2,1,1
cheese_c8e588f75ba3,cheddar,plant_based,2,2.33,4.0,52.0,12.0,47.0,18.0,3.0,31.0,51.0,2,1,2,2,2,3
cheese_9c924c800510,mozzarella,plant_based,1,5.0,27.0,35.0,37.0,76.0,13.0,57.0,59.0,80.0,2,3,3,2,3,2
cheese_5f95d52f7e00,cheddar,dairy,2,5.0,25.0,57.0,41.0,52.0,67.0,32.0,60.0,,3,3,3,3,3,3
cheese_8a3a93b7f236,feta,plant_based,2,1.0,28.0,3.0,76.0,8.0,0.0,3.0,0.0,5.0,2,5,5,1,2,4
cheese_38b49b8ebf48,cheddar,plant_based,1,5.0,19.0,13.0,52.0,79.0,33.0,40.0,32.0,34.0,1,1,3,2,1,3
cheese_23a1357d7f59,cheddar,plant_based,1,1.0,67.0,60.0,58.0,73.0,24.0,28.0,7.0,48.0,5,1,2,3,1,3
cheese_f5878f06c8e6,feta,plant_based,2,2.33,8.0,2.0,55.0,16.0,27.0,23.0,51.0,2.0,2,4,4,2,2,5
cheese_187b2d634e56,mozzarella,dairy,2,9.0,57.0,36.0,54.0,13.0,52.0,28.0,44.0,41.0,3,2,1,2,2,3
cheese_192a59c61ef2,cheddar,dairy,2,9.0,27.0,21.0,47.0,22.0,100.0,50.0,100.0,77.0,3,3,3,3,2,3
cheese_c2f330603093,feta,dairy,1,5.0,,,,,,,,28.0,3,2,3,3,3,3
cheese_8ca1da0a9aab,feta,plant_based,2,1.0,34.0,5.0,75.0,11.0,9.0,2.0,0.0,0.0,2,5,5,1,2,4
cheese_8b68848be2ca,cheddar,plant_based,2,9.0,67.0,64.0,69.0,43.0,68.0,23.0,68.0,21.0,4,2,3,3,2,3
cheese_7e78f3f9422d,mozzarella,dairy,2,9.0,47.0,50.0,80.0,10.0,87.0,78.0,67.0,68.0,3,4,3,4,4,3
cheese_8e502067cf76,feta,plant_based,2,2.33,0.0,8.0,15.0,0.0,,34.0,0.0,89.0,5,1,2,1,1,1
cheese_a6dba1dc5d98,cheddar,plant_based,1,1.0,18.0,7.0,65.0,79.0,33.0,40.0,32.0,35.0,1,1,3,2,1,3
cheese_2fc68b6c3bc0,cheddar,dairy,1,5.0,64.0,38.0,63.0,38.0,65.0,83.0,74.0,69.0,2,3,3,4,3,3
cheese_1d55faa1f299,mozzarella,plant_based,2,6.33,48.0,56.0,54.0,31.0,20.0,18.0,29.0,45.0,3,1,3,2,1,3
cheese_bc245726c390,mozzarella,dairy,2,3.67,72.0,100.0,52.0,50.0,88.0,50.0,65.0,,5,1,5,2,5,1
cheese_e6f9189de4fa,mozzarella,plant_based,2,9.0,45.0,51.0,48.0,66.0,50.0,79.0,58.0,72.0,4,2,1,3,2,2
