Time (s)	Encoder (rad)	Torque (Nm)	Marker	Normal force (N)	Gap (um)
0	0	-6.2815475646E-06	0	0.05549652416	14839.60546875	
0.00208	-1.867048459375E-06	-6.07903358442187E-06	0	0.06242594974	14839.60546875	
0.006176	-4.75055028421875E-06	-5.77717475166562E-06	0	0.06574550367	14839.60546875	
0.010272	-5.07751234546875E-06	-5.91842340849375E-06	0	0.05685643348	14839.60546875	
0.014368	-6.2256282859375E-06	-5.99751395440312E-06	0	0.06634523896	14839.60546875	
0.018464	-9.19397932578125E-06	-5.72651470617187E-06	0	0.07434807611	14839.60546875	
0.02256	-1.07807876515625E-05	-5.6569866507E-06	0	0.05911021578	14839.60546875	
0.026656	-1.19125372025E-05	-5.71894259835937E-06	0	0.05812466352	14839.60546875	
0.030752	-1.2689712124375E-05	-5.74549978334062E-06	0	0.06615424046	14839.60546875	
0.034848	-1.06418104890625E-05	-6.1352255955375E-06	0	0.05911785572	14839.60546875	
0.038944	-9.6404434603125E-06	-6.3760368931875E-06	0	0.06165813577	14839.60546875	
0.04304	-1.09680410915625E-05	-6.15631451675625E-06	0	0.06978703193	14839.60546875	
0.047136	-1.03537071739063E-05	-6.17787915865312E-06	0	0.05750200841	14839.60546875	
0.051232	-8.37511125515625E-06	-6.4743733333125E-06	0	0.0533267812	14839.60546875	
0.055328	-0.000007340920015	-6.5527078703625E-06	0	0.06916437682	14839.60546875	
0.059424	-4.91183693859375E-06	-6.75282185294062E-06	0	0.06768222846	14839.60546875	
0.06352	-2.968625336875E-06	-6.93230508691875E-06	0	0.06508464886	14839.60546875	
0.067616	-3.38199096296875E-06	-6.70806228231562E-06	0	0.06894281856	14839.60546875	
0.071712	-2.05759346375E-06	-6.70587766911562E-06	0	0.06238775004	14839.60546875	
0.075808	7.4453357515625E-07	-7.01266918924687E-06	0	0.05720787072	14839.60546875	
0.079904	1.37541674703125E-06	-6.98323844944687E-06	0	0.06888551901	14839.60546875	
0.084	1.45194561875E-06	-6.81621097224375E-06	0	0.06595178205	14839.60546875	
0.088096	1.23168510265625E-06	-6.71307453691875E-06	0	0.05489678887	14839.60546875	
0.092192	-8.36423080625E-07	-6.39151139694375E-06	0	0.06307152467	14839.60546875	
0.096288	-1.39772623890625E-06	-6.27624540644062E-06	0	0.06191025379	14839.60546875	
0.100384	1.0962738015625E-07	-6.56260329315937E-06	0	0.05367439847	14839.60546875	
0.10448	-6.6992478265625E-07	-6.52084275799687E-06	0	0.06913763703	14839.60546875	
0.108576	-2.37568658765625E-06	-6.25668052215937E-06	0	0.06841184273	14839.60546875	
0.112672	-2.955459079375E-06	-6.2338601122875E-06	0	0.05593582071	14839.60546875	
0.116768	-4.2887255159375E-06	-6.14493303775312E-06	0	0.06293782572	14839.60546875	
0.120864	-4.5143805403125E-06	-6.15792220745625E-06	0	0.06969917262	14839.60546875	
0.12496	-2.9549104853125E-06	-6.457503157875E-06	0	0.06072224312	14839.60546875	
0.129056	-3.9566432434375E-06	-6.40118975265E-06	0	0.06919493658	14839.60546875	
0.133152	-6.01048798109375E-06	-6.08396458910625E-06	0	0.07115076122	14839.60546875	
