Time (s)	Encoder (rad)	Torque (Nm)	Marker	Normal force (N)	Gap (um)
0	0	-2.8270125576E-06	0	0.03031910189	11564.84765625	
0.00208	-1.48120396875E-08	-2.79726282773437E-06	0	0.03634701455	11564.84765625	
0.006176	-6.58312875E-09	-2.78093231521875E-06	0	0.02639217273	11564.84765625	
0.010272	-2.59274697171875E-06	-2.62626323911875E-06	0	0.03012810339	11564.84765625	
0.014368	-5.3449519509375E-06	-2.40686129505938E-06	0	0.03145363298	11564.84765625	
0.018464	-5.20405470921875E-06	-2.42885886921562E-06	0	0.02130779266	11564.84765625	
0.02256	-5.4184635553125E-06	-2.51077489306875E-06	0	0.0333483381	11564.84765625	
0.026656	-7.21556627171875E-06	-2.4312716071875E-06	0	0.03622859548	11564.84765625	
0.030752	-7.81554531140625E-06	-2.4130581638625E-06	0	0.02572749795	11564.84765625	
0.034848	-8.708382148125E-06	-2.4201523875375E-06	0	0.02737772499	11564.84765625	
0.038944	-9.458127366875E-06	-2.39007765799687E-06	0	0.02961622741	11564.84765625	
0.04304	-7.38910486015625E-06	-2.55369119630625E-06	0	0.0230344191	11564.84765625	
0.047136	-6.4421400759375E-06	-2.69347543152187E-06	0	0.02869943461	11564.84765625	
0.051232	-7.69192878265625E-06	-2.60860724715937E-06	0	0.03863899655	11564.84765625	
0.055328	-7.38197313734375E-06	-2.58423130999687E-06	0	0.02346989568	11564.84765625	
0.059424	-6.38426340234375E-06	-2.67362545137187E-06	0	0.02251490318	11564.84765625	
0.06352	-5.7534716628125E-06	-2.7017424905625E-06	0	0.03256142428	11564.84765625	
0.067616	-3.064446433125E-06	-2.84516398175625E-06	0	0.02973464648	11564.84765625	
0.071712	-1.2374453403125E-06	-2.98178187398437E-06	0	0.02903559197	11564.84765625	
0.075808	-2.5716261003125E-06	-2.8481538826125E-06	0	0.03612927626	11564.84765625	
0.079904	-2.10778982046875E-06	-2.77310660189063E-06	0	0.02245760363	11564.84765625	
0.084	-2.049913146875E-07	-2.88902763981562E-06	0	0.02049795902	11564.84765625	
0.088096	-3.2888214046875E-07	-2.87299568469375E-06	0	0.03435299021	11564.84765625	
0.092192	-1.4089724171875E-07	-2.8227404464875E-06	0	0.03030764198	11564.84765625	
0.096288	-6.1341959421875E-07	-2.79038422884375E-06	0	0.02513158263	11564.84765625	
0.100384	-3.1871486384375E-06	-2.59871591089688E-06	0	0.03180507022	11564.84765625	
0.10448	-3.4501080590625E-06	-2.5292080477125E-06	0	0.02719436643	11564.84765625	
0.108576	-1.41390976375E-06	-2.70624753413437E-06	0	0.02339731625	11564.84765625	
0.112672	-1.59869453046875E-06	-2.74949508704062E-06	0	0.03853585736	11564.84765625	
0.116768	-2.19071895625E-06	-2.6798944354875E-06	0	0.03617129593	11564.84765625	
0.120864	-2.0175460971875E-06	-2.69306870115937E-06	0	0.02218638576	11564.84765625	
0.12496	-3.62008078609375E-06	-2.6076445077375E-06	0	0.02774826208	11564.84765625	
0.129056	-4.05237290734375E-06	-2.5457830311375E-06	0	0.02901649212	11564.84765625	
0.133152	-2.66406419984375E-06	-2.6717540590125E-06	0	0.02463498653	11564.84765625	
0.137248	-4.1362163665625E-06	-2.639341591425E-06	0	0.03576255914	11564.84765625	
0.141344	-6.81234963578125E-06	-2.43536895885937E-06	0	0.03443702955	11564.84765625	
0.14544	-7.07384613890625E-06	-2.42139709783125E-06	0	0.02291982	11564.84765625	
0.149536	-7.3072729125E-06	-2.4731504114625E-06	0	0.02774062214	11564.84765625	
0.153632	-7.3191591171875E-06	-2.49802514620312E-06	0	0.03457454847	11564.84765625	
0.157728	-6.0859196646875E-06	-2.61184185930938E-06	0	0.02707976733	11564.84765625	
0.161824	-6.93413751765625E-06	-2.61288632941875E-06	0	0.03177069049	11564.84765625	
0.16592	-8.9272711790625E-06	-2.45854129145625E-06	0	0.03353169666	11564.84765625	
0.170016	-0.000008013862065	-2.5026542281125E-06	0	0.01973014505	11564.84765625	
0.174112	-6.9377033790625E-06	-2.6333867896875E-06	0	0.02713706688	11564.84765625	
0.178208	-6.62774773375E-06	-2.65525239282187E-06	0	0.03512844412	11564.84765625	
0.182304	-5.18265954078125E-06	-2.73567250470938E-06	0	0.02911199137	11564.84765625	
0.1864	-4.99888052984375E-06	-2.76546213838125E-06	0	0.02657553129	11564.84765625	
0.190496	-5.8518528646875E-06	-2.66305166386875E-06	0	0.03432243045	11564.84765625	
0.194592	-3.58487933375E-06	-2.75671479135937E-06	0	0.02289690018	11564.84765625	
0.198688	-1.26350355828125E-06	-2.93957085850312E-06	0	0.02504372332	11564.84765625	
0.202784	-0.000001512656695	-2.89683893008125E-06	0	0.03752356531	11564.84765625	
0.20688	-1.51549109765625E-06	-2.82013179525E-06	0	0.0276947825	11564.84765625	
0.210976	-1.9370856346875E-06	-2.77521381132188E-06	0	0.02236592435	11564.84765625	
0.215072	-3.48274940578125E-06	-2.63745914138437E-06	0	0.03198078884	11564.84765625	
0.219168	-2.3070208975E-06	-2.66971295528437E-06	0	0.02767186268	11564.84765625	
0.223264	-7.206697334375E-07	-2.82282746563125E-06	0	0.02943286885	11564.84765625	
0.22736	-2.4854968325E-06	-2.7205463179125E-06	0	0.03741278618	11564.84765625	
0.231456	-3.43127299625E-06	-2.59606254816562E-06	0	0.02798128025	11564.84765625	
0.235552	-2.9245549471875E-06	-2.643968509875E-06	0	0.01877897252	11564.84765625	
0.239648	-3.5371516503125E-06	-2.62970145683437E-06	0	0.03133139394	11564.84765625	
0.243744	-3.14902135109375E-06	-2.63982668709375E-06	0	0.03088445745	11564.84765625	
0.24784	-2.7939895603125E-06	-2.70547926567187E-06	0	0.02696516823	11564.84765625	
0.251936	-5.48219189890625E-06	-2.552033986425E-06	0	0.03593445779	11564.84765625	
0.256032	-7.22324658859375E-06	-2.39501082614062E-06	0	0.02887515323	11564.84765625	
0.260128	-6.30691163953125E-06	-2.49008452914375E-06	0	0.02256456279	11564.84765625	
0.264224	-6.4944393765625E-06	-2.55041812265625E-06	0	0.03335215807	11564.84765625	
0.26832	-6.38828642546875E-06	-2.56046739145312E-06	0	0.03557156064	11564.84765625	
0.272416	-5.75978049453125E-06	-2.63606996008125E-06	0	0.02638071282	11564.84765625	
0.276512	-7.41159721671875E-06	-2.56060368939375E-06	0	0.03082333793	11564.90625	
0.280608	-8.3450300140625E-06	-2.45746268676562E-06	0	0.03000204438	11564.90625	
0.284704	-6.19764998875E-06	-2.61259017586875E-06	0	0.01932522823	11564.90625	
0.2888	-5.4230351725E-06	-2.72823741599062E-06	0	0.03295870116	11564.90625	
0.292896	-5.8752595446875E-06	-2.67398987408437E-06	0	0.03535382235	11564.90625	
0.296992	-5.15669275515625E-06	-2.6948155744125E-06	0	0.02350045544	11564.90625	
0.301088	-5.0571229328125E-06	-2.70570114045E-06	0	0.02577715756	11564.90625	
0.305184	-4.07669391078125E-06	-2.725741505025E-06	0	0.03095321691	11564.90625	
0.30928	-5.5782872921875E-07	-2.93651965963125E-06	0	0.0262431939	11564.90625	
0.313376	9.2008367515625E-07	-3.0548738682E-06	0	0.03423075117	11564.90625	
0.317472	-1.8533336078125E-07	-2.90746848675937E-06	0	0.03431479051	11564.90625	
0.321568	3.1425296546875E-07	-2.84652191309062E-06	0	0.02325597736	11564.90625	
0.325664	7.3081872359375E-07	-2.8615077154125E-06	0	0.02501698353	11564.90625	
0.32976	3.1260718328125E-07	-2.79644600162812E-06	0	0.03222526692	11564.90625	
0.333856	1.20041524109375E-06	-2.8198279494E-06	0	0.02896683251	11564.90625	
0.337952	3.3601386328125E-07	-2.7899818254E-06	0	0.02792016073	11564.90625	
0.342048	-2.39324159765625E-06	-2.57715824014687E-06	0	0.03564796004	11564.90625	
0.346144	-2.69405400859375E-06	-2.52301815005625E-06	0	0.02403143127	11564.90625	
0.35024	-1.84812196421875E-06	-2.6372040935625E-06	0	0.02201066714	11564.90625	
0.354336	-2.73346134875E-06	-2.61940675559063E-06	0	0.03487250613	11564.90625	
0.358432	-2.78073187046875E-06	-2.61242214719062E-06	0	0.02825631809	11564.90625	
0.362528	-3.888800444375E-06	-2.59308803190937E-06	0	0.02582681717	11564.90625	
0.366624	-7.19197672703125E-06	-2.38826515980937E-06	0	0.02962386735	11564.90625	
0.37072	-7.973266104375E-06	-2.3242294065375E-06	0	0.02609803504	11564.90625	
0.374816	-7.27627734796875E-06	-2.45681148549375E-06	0	0.02322923757	11564.90625	
0.378912	-8.859062650625E-06	-2.43493290160312E-06	0	0.04096153831	11564.90625	
0.383008	-1.0117171700625E-05	-2.35524067360312E-06	0	0.03323755897	11564.90625	
0.387104	-1.03963146460937E-05	-2.39626707488437E-06	0	0.02430264914	11564.90625	
0.3912	-1.15321786525E-05	-2.36654258537812E-06	0	0.03259580401	11564.90625	
0.395296	-1.04223728640625E-05	-2.44732952382187E-06	0	0.02824485818	11564.90625	
0.399392	-8.114437643125E-06	-2.660391570375E-06	0	0.02488710455	11564.90625	
0.403488	-8.78216804953125E-06	-2.66206128024375E-06	0	0.03374179501	11564.90625	
0.407584	-9.905048663125E-06	-2.53738424145937E-06	0	0.03026944228	11564.90625	
0.41168	-9.1423200515625E-06	-2.5701118529625E-06	0	0.01752602236	11564.90625	
0.415776	-8.81343791109375E-06	-2.61431445299063E-06	0	0.02937938927	11564.90625	
0.419872	-7.04806221796875E-06	-2.694572305425E-06	0	0.03218706722	11564.90625	
0.423968	-4.08565428046875E-06	-2.89791128477812E-06	0	0.02512394269	11564.90625	
0.428064	-3.81684318984375E-06	-2.9129018947875E-06	0	0.0340359327	11564.90625	
0.43216	-3.871245434375E-06	-2.8081866148875E-06	0	0.03225964665	11564.90625	
0.436256	-9.1478059921875E-07	-2.93618600611875E-06	0	0.02040627974	11564.90625	
0.440352	1.37797685265625E-06	-3.07681783664062E-06	0	0.03120151496	11564.90625	
0.444448	2.5398076446875E-06	-3.08184667776562E-06	0	0.03827991937	11564.90625	
0.448544	4.0125998378125E-06	-3.09688512426562E-06	0	0.02704156763	11564.90625	
0.45264	3.15505588578125E-06	-2.999848923225E-06	0	0.02827923791	11564.90625	
0.456736	1.837058650625E-06	-2.80570993467187E-06	0	0.02958566765	11564.90625	
0.460832	3.73409691875E-06	-2.87366227056562E-06	0	0.02272118156	11564.90625	
0.464928	4.56329684421875E-06	-2.96050521256875E-06	0	0.03011664348	11564.90625	
0.469024	3.183674209375E-06	-2.83618971188437E-06	0	0.03765726426	11564.90625	
0.47312	2.63352579703125E-06	-2.7549270527625E-06	0	0.02542572032	11564.90625	
0.477216	1.3431411296875E-06	-2.6888117342625E-06	0	0.02287780033	11564.90625	
0.481312	-7.47916571875E-07	-2.54385442729687E-06	0	0.03025798237	11564.90625	
0.485408	-5.2399876203125E-07	-2.56199863992187E-06	0	0.0246770062	11564.90625	
0.489504	-1.3007165221875E-06	-2.60247119560313E-06	0	0.03030382201	11564.90625	
0.4936	-5.25159952796875E-06	-2.38161732991875E-06	0	0.03738986636	11564.90625	
0.497696	-7.8220370078125E-06	-2.21620667802188E-06	0	0.02838619707	11564.90625	
0.501792	-9.2370439596875E-06	-2.2149525927375E-06	0	0.02159429041	11564.90625	
0.505888	-1.10467643395312E-05	-2.18818795604063E-06	0	0.03309622008	11564.90625	
0.509984	-1.09892533953125E-05	-2.2587987027375E-06	0	0.02950544828	11564.90625	
0.51408	-1.12131712051563E-05	-2.36573297080312E-06	0	0.02672451012	11564.90625	
0.518176	-1.41783221129687E-05	-2.24092684560937E-06	0	0.03364629576	11564.90625	
0.522272	-1.53336612085938E-05	-2.16612643964062E-06	0	0.02421096986	11564.90625	
0.526368	-0.0000141025247	-2.33051930409375E-06	0	0.0208188365	11564.90625	
0.530464	-1.42018202253125E-05	-2.40788725557188E-06	0	0.03365775567	11564.90625	
0.53456	-1.361610463125E-05	-2.45473288180313E-06	0	0.03310004005	11564.90625	
0.538656	-1.26059600975E-05	-2.55747989444062E-06	0	0.02364943427	11564.90625	
0.542752	-1.30786653146875E-05	-2.53805972155313E-06	0	0.03130847412	11564.90625	
0.546848	-1.18252193142187E-05	-2.5702580066625E-06	0	0.02699954796	11564.90625	
0.550944	-8.25350623796875E-06	-2.80551113679375E-06	0	0.02153699086	11564.90625	
0.55504	-6.497913805625E-06	-2.92885476345E-06	0	0.03707662882	11564.90625	
0.559136	-5.19847733625E-06	-2.9276922646125E-06	0	0.03371887519	11564.90625	
0.563232	-3.08922459828125E-06	-0.000002998304694	0	0.02106331458	11564.90625	
0.567328	-2.6765904309375E-06	-2.96869943514375E-06	0	0.0297575663	11564.90625	
0.571424	-0.000001214221525	-2.94913382970937E-06	0	0.02755726358	11564.90625	
0.57552	2.35319423109375E-06	-3.12343509771562E-06	0	0.02245378366	11564.90625	
0.579616	3.56156408609375E-06	-3.17600283360937E-06	0	0.03295106122	11564.90625	
0.583712	2.72660392296875E-06	-3.01363328444062E-06	0	0.03525450313	11564.90625	
0.587808	3.2901014575E-06	-2.94885594537187E-06	0	0.01838169564	11564.90625	
0.591904	3.36754465265625E-06	-2.92670452521562E-06	0	0.02677416973	11564.90625	
0.596	3.3398406525E-06	-2.86150050388125E-06	0	0.03276770266	11564.90625	
0.600096	4.8044039346875E-06	-2.93296413434062E-06	0	0.02689640877	11564.90625	
0.604192	3.4007345934375E-06	-2.864602904625E-06	0	0.03196932893	11564.90625	
0.608288	9.67354196875E-08	-2.59605341355937E-06	0	0.0330809402	11564.90625	
0.612384	-6.06013574375E-07	-2.51757993434062E-06	0	0.02037571998	11564.90625	
0.61648	-7.67665958125E-07	-2.57698828839375E-06	0	0.02745412439	11564.90625	
0.620576	-2.1100756290625E-06	-2.53244193870937E-06	0	0.03550280118	11564.90625	
0.624672	-2.6590354209375E-06	-2.52236334301875E-06	0	0.02902031209	11564.90625	
0.628768	-4.526632474375E-06	-2.47178478782812E-06	0	0.02601017573	11564.90625	
0.632864	-7.5378652834375E-06	-2.2990890470625E-06	0	0.03023506255	11564.90625	
0.63696	-7.58787877546875E-06	-2.31572436696563E-06	0	0.02115499386	11564.90625	
0.641056	-6.88238681109375E-06	-2.47429440070312E-06	0	0.02385953262	11564.90625	
0.645152	-8.711307983125E-06	-2.42594829520312E-06	0	0.03549134127	11564.90625	
0.649248	-9.90514009546875E-06	-2.3586005260125E-06	0	0.03060559964	11564.90625	
0.653344	-1.103405524375E-05	-2.34672890326875E-06	0	0.02515832242	11564.90625	
0.65744	-1.2382499449375E-05	-2.29473304180313E-06	0	0.03157205205	11564.90625	
0.661536	-1.09344854214062E-05	-2.41014831100312E-06	0	0.02971554663	11564.90625	
0.665632	-8.525517460625E-06	-2.64834807280312E-06	0	0.02615915456	11564.90625	
0.669728	-9.147988856875E-06	-2.65211393442187E-06	0	0.03767254414	11564.90625	
0.673824	-9.50969520875E-06	-2.572037812575E-06	0	0.0273891849	11564.90625	
0.67792	-8.1616167325E-06	-2.65337955815625E-06	0	0.01754894218	11564.90625	
0.682016	-7.6161313696875E-06	-2.6969578799625E-06	0	0.0289171729	11564.90625	
0.686112	-6.1949070184375E-06	-2.74860638600625E-06	0	0.03138869349	11564.90625	
0.690208	-4.43108567515625E-06	-2.8603731011625E-06	0	0.02487564464	11564.90625	
0.694304	-0.000005386462235	-2.78485659014062E-06	0	0.03308476017	11564.90625	
0.6984	-5.86401336640625E-06	-2.66350887495E-06	0	0.02853899587	11564.90625	
0.702496	-3.62584102375E-06	-2.78305995732187E-06	0	0.0197110452	11564.90625	
0.706592	-2.5950327803125E-06	-2.86617093190312E-06	0	0.03023888252	11564.90625	
0.710688	-2.00227689578125E-06	-2.85108416814375E-06	0	0.03573581935	11564.90625	
0.714784	-8.4291477703125E-07	-2.89294253974687E-06	0	0.02453566731	11564.90625	
0.71888	-2.033089595625E-06	-2.80401762867187E-06	0	0.03007844378	11564.90625	
0.722976	-3.33938349078125E-06	-2.64236274225E-06	0	0.0305979597	11564.90625	
0.727072	-1.8515049609375E-06	-2.71538742884062E-06	0	0.01985238409	11564.90625	
0.731168	-1.4645632821875E-06	-2.78478904213125E-06	0	0.03143453313	11564.90625	
0.735264	-2.62877131515625E-06	-2.68649995772813E-06	0	0.0364043141	11564.90625	
0.73936	-2.8327568740625E-06	-2.6511790795875E-06	0	0.02414985034	11564.90625	
0.743456	-3.75457776375E-06	-2.611280081025E-06	0	0.02445926791	11564.90625	
0.747552	-4.416182203125E-06	-2.55236259186562E-06	0	0.03100669649	11564.90625	
0.751648	-2.2395438278125E-06	-2.69717013936562E-06	0	0.02325979733	11564.90625	
0.755744	-1.4455453546875E-06	-2.81682146202187E-06	0	0.03048718057	11564.90625	
