Time (s)	Encoder (rad)	Torque (Nm)	Marker	Normal force (N)	Gap (um)
0	0	-2.0392902684E-06	0	0.0330045408	11864.0390625	
0.00208	-9.415702759375E-07	-2.0009316529125E-06	0	0.03731728693	11864.0390625	
0.006176	-3.271449259375E-06	-1.84057652480625E-06	0	0.04253154598	11864.0390625	
0.010272	-3.08465298109375E-06	-1.78960253731875E-06	0	0.0285351759	11864.0390625	
0.014368	-2.29412893703125E-06	-1.85099069708437E-06	0	0.03509788436	11864.0390625	
0.018464	-2.90014251140625E-06	-1.82944504555312E-06	0	0.04383415575	11864.0390625	
0.02256	-2.80523573859375E-06	-1.82057245827187E-06	0	0.03923873184	11864.0390625	
0.026656	-4.33142442046875E-06	-1.77601577205937E-06	0	0.03433771033	11864.0390625	
0.030752	-7.4096771375E-06	-1.61486929859062E-06	0	0.03773366366	11864.0390625	
0.034848	-0.00000765398436	-1.58036140040625E-06	0	0.03160643178	11864.0390625	
0.038944	-7.32437076078125E-06	-1.66087189681875E-06	0	0.03080041811	11864.0390625	
0.04304	-9.76854017390625E-06	-1.59665248988437E-06	0	0.04328790004	11864.0390625	
0.047136	-1.19731568464063E-05	-1.48892879953125E-06	0	0.0361369162	11864.0390625	
0.051232	-1.34530807623437E-05	-1.45735455225937E-06	0	0.02962768732	11864.0390625	
0.055328	-1.51356187520313E-05	-1.41681757356562E-06	0	0.03773748363	11864.0390625	
0.059424	-1.398329692375E-05	-1.49543360071875E-06	0	0.03704606906	11864.0390625	
0.06352	-1.19442642257813E-05	-1.67397645102187E-06	0	0.03598029743	11864.0390625	
0.067616	-1.26066001239063E-05	-1.69816801336875E-06	0	0.04328408007	11864.0390625	
0.071712	-1.23184053764063E-05	-1.68384062385E-06	0	0.04111433711	11864.0390625	
0.075808	-1.0477780864375E-05	-1.7815914876375E-06	0	0.02552121957	11864.0390625	
0.079904	-9.68972549359375E-06	-1.83723422045625E-06	0	0.03941063049	11864.0390625	
0.084	-8.03205710140625E-06	-1.88150749349062E-06	0	0.04108759732	11864.0390625	
0.088096	-5.55835504125E-06	-1.99566603317812E-06	0	0.03390223375	11864.0390625	
0.092192	-5.63232380734375E-06	-1.98923575114687E-06	0	0.04250862616	11864.0390625	
0.096288	-5.6741083884375E-06	-1.91138342515312E-06	0	0.03689709023	11864.0390625	
0.100384	-3.0328108421875E-06	-1.99069248045937E-06	0	0.03045280084	11864.0390625	
0.10448	-1.45779728875E-06	-2.0688662003625E-06	0	0.0373593066	11864.0390625	
0.108576	-2.5719918296875E-07	-2.07444167555625E-06	0	0.04354383803	11864.0390625	
0.112672	1.273835413125E-06	-2.11040870689687E-06	0	0.03348967699	11864.0390625	
0.116768	1.5534355203125E-07	-2.03510709950625E-06	0	0.03698112957	11864.0390625	
0.120864	-1.15049318140625E-06	-1.89311277034687E-06	0	0.03798196171	11864.0390625	
0.12496	3.7167247734375E-07	-1.91970024375937E-06	0	0.02928389002	11864.0390625	
0.129056	1.0079501575E-06	-1.97514778446562E-06	0	0.04100737795	11864.0390625	
0.133152	-4.690479234375E-07	-1.891107724275E-06	0	0.04607647814	11864.0390625	
0.137248	-1.21339863390625E-06	-1.82027053549687E-06	0	0.03257288419	11864.0390625	
0.141344	-0.000002881947475	-1.75354319837812E-06	0	0.03355079651	11864.0390625	
0.14544	-4.506883088125E-06	-1.65928535994375E-06	0	0.0383142991	11864.0390625	
0.149536	-3.55955257453125E-06	-1.71207737445937E-06	0	0.03600703722	11864.0390625	
0.153632	-4.41590790609375E-06	-1.74287830519687E-06	0	0.03585041845	11864.0390625	
0.157728	-7.91511513375E-06	-1.59103230319687E-06	0	0.04400223443	11864.0390625	
0.161824	-1.00182419046875E-05	-1.47754419553125E-06	0	0.03026944228	11864.0390625	
0.16592	-1.11701980035938E-05	-1.47016319329687E-06	0	0.03028472216	11864.0390625	
0.170016	-1.25789875560937E-05	-1.4555139291E-06	0	0.04234436745	11864.0390625	
0.174112	-1.22395906960937E-05	-1.50878551044375E-06	0	0.03664115224	11864.0390625	
0.178208	-1.24538166775E-05	-1.58113952462812E-06	0	0.03817678018	11864.0390625	
0.182304	-1.494004496875E-05	-1.50093840290625E-06	0	0.04142757465	11864.0390625	
0.1864	-1.48743965459375E-05	-1.49070692275312E-06	0	0.03275242278	11864.0390625	
0.190496	-1.33563453426562E-05	-1.62292025207812E-06	0	0.03023124258	11864.0390625	
0.194592	-1.29747981721875E-05	-1.68425913304687E-06	0	0.04241694688	11864.0390625	
0.198688	-1.2055537388125E-05	-1.7313367302E-06	0	0.04242076685	11864.0390625	
0.202784	-0.000011612639115	-1.77281000603437E-06	0	0.03353551663	11864.0390625	
0.20688	-1.28994579209375E-05	-1.71050982795E-06	0	0.04025484386	11864.0390625	
0.210976	-1.19131772289062E-05	-1.70367161363437E-06	0	0.03229402638	11864.0390625	
0.215072	-8.7338003396875E-06	-1.87391567415937E-06	0	0.02973846645	11864.0390625	
0.219168	-8.17697736625E-06	-1.93096946325937E-06	0	0.04476240846	11864.0390625	
0.223264	-8.06186404546875E-06	-1.884780807525E-06	0	0.03863135661	11864.0390625	
0.22736	-7.2046858228125E-06	-1.89908391822187E-06	0	0.03064379934	11864.0390625	
0.231456	-7.6642247825E-06	-1.857896219025E-06	0	0.03505204472	11864.0390625	
0.235552	-6.58047721203125E-06	-1.85640799935937E-06	0	0.03764198438	11864.0390625	
0.239648	-4.0941574884375E-06	-1.96906846362188E-06	0	0.0315529522	11864.0390625	
0.243744	-4.2042420303125E-06	-1.97830451207812E-06	0	0.04310072151	11864.0390625	
0.24784	-5.105216345625E-06	-1.87529019201562E-06	0	0.04369663683	11864.0390625	
0.251936	-4.08949443890625E-06	-1.8803971580625E-06	0	0.02753434376	11864.0390625	
0.256032	-3.19528611703125E-06	-1.92419543157187E-06	0	0.03738986636	11864.0390625	
0.260128	-2.0369297540625E-06	-1.94694084151875E-06	0	0.03978116758	11864.0390625	
0.264224	1.4528599421875E-07	-0.000002041767189	0	0.0359841174	11864.0390625	
0.26832	-7.5495686234375E-07	-2.00579751343125E-06	0	0.03891403439	11864.0390625	
0.272416	-2.6279484240625E-06	-0.000001852151994	0	0.03840597838	11864.0390625	
0.276512	-1.88058044625E-06	-1.83721907624062E-06	0	0.02674360997	11864.0390625	
0.280608	-1.51201666859375E-06	-1.88152287809062E-06	0	0.03513608406	11864.0390625	
0.284704	-2.4139967396875E-06	-1.83220249471875E-06	0	0.04710405007	11864.0390625	
0.2888	-2.6162450840625E-06	-1.80614026116562E-06	0	0.03704988903	11864.0390625	
0.292896	-3.82626072125E-06	-1.77077539268437E-06	0	0.03583895854	11864.0390625	
0.296992	-5.44232739703125E-06	-1.67489880586875E-06	0	0.04013260482	11864.0390625	
0.301088	-3.936345263125E-06	-1.73846629037812E-06	0	0.0323933456	11864.0390625	
0.305184	-3.03363373328125E-06	-1.84362964675312E-06	0	0.03466622775	11864.0390625	
0.30928	-4.64192865984375E-06	-1.78224292929375E-06	0	0.04390673518	11864.0390625	
0.313376	-5.47643166125E-06	-1.7189828964E-06	0	0.03305802038	11864.0390625	
0.317472	-6.6447541496875E-06	-1.68691009193437E-06	0	0.02915019107	11864.0390625	
0.321568	-8.651328365625E-06	-1.59715369130625E-06	0	0.03973150797	11864.0390625	
0.325664	-8.07649322046875E-06	-1.61870631398437E-06	0	0.03536528226	11864.0390625	
0.32976	-0.000007247293295	-1.7231723152875E-06	0	0.0369773096	11864.0390625	
0.333856	-9.38104990109375E-06	-1.66323054830625E-06	0	0.04403279419	11864.0390625	
0.337952	-1.05646415909375E-05	-1.58255755205625E-06	0	0.03653801305	11864.0390625	
0.342048	-1.04437680325E-05	-1.61653035462187E-06	0	0.02835181734	11864.0390625	
0.346144	-1.10730054221875E-05	-1.623646453275E-06	0	0.04088895888	11864.0390625	
0.35024	-1.06210553470312E-05	-1.65191493462187E-06	0	0.03895605406	11864.0390625	
0.354336	-1.0414875411875E-05	-1.70751055210312E-06	0	0.03445994937	11864.0390625	
0.358432	-1.3049589829375E-05	-1.60956593850937E-06	0	0.04140083486	11864.0390625	
0.362528	-1.45401198971875E-05	-1.50365666941875E-06	0	0.03527360298	11864.0390625	
0.366624	-1.32849366821875E-05	-1.58577125076562E-06	0	0.02934118957	11864.0390625	
0.37072	-1.30361492748437E-05	-1.65541733496562E-06	0	0.03994924626	11864.0390625	
0.374816	-1.22584257589062E-05	-1.69583412147187E-06	0	0.04225650814	11864.0390625	
0.378912	-1.1020523256875E-05	-1.77637466593125E-06	0	0.03133139394	11864.0390625	
0.383008	-1.17228150892187E-05	-1.75972011527812E-06	0	0.03759996471	11864.0390625	
0.387104	-1.14325173978125E-05	-1.72680091742812E-06	0	0.03492980568	11864.0390625	
0.3912	-8.27051265390625E-06	-1.868596208325E-06	0	0.02970026675	11864.0390625	
0.395296	-7.058942666875E-06	-1.96258024895625E-06	0	0.04027394371	11864.0390625	
0.399392	-7.2880721203125E-06	-1.91206491485625E-06	0	0.04535068384	11864.0390625	
0.403488	-6.49928529078125E-06	-1.90472814334687E-06	0	0.03316115957	11864.0390625	
0.407584	-6.53658968703125E-06	-1.88610460427812E-06	0	0.03391751363	11864.0390625	
0.41168	-5.54518878375E-06	-1.88064860011875E-06	0	0.04000654581	11864.0390625	
0.415776	-2.0817316025E-06	-2.02331071707188E-06	0	0.03462802805	11864.0390625	
0.419872	-8.687901303125E-07	-2.10606472085625E-06	0	0.0424780664	11864.0390625	
0.423968	-2.087217543125E-06	-1.9934624296125E-06	0	0.04138937495	11864.0390625	
0.428064	-1.2740182778125E-06	-1.95424684382812E-06	0	0.02895155263	11864.0390625	
0.43216	-6.30883171875E-08	-1.99936795255312E-06	0	0.02913491119	11864.0390625	
0.436256	6.197284259375E-07	-2.00390689032187E-06	0	0.04065594071	11864.0390625	
0.440352	1.859733871875E-06	-2.03534580119063E-06	0	0.03573963932	11864.0390625	
0.444448	9.572966390625E-07	-1.990976855175E-06	0	0.03625915524	11864.0390625	
0.448544	-1.47928388953125E-06	-1.82845346000625E-06	0	0.0419432706	11864.0390625	
0.45264	-1.38465141375E-06	-1.78002682574062E-06	0	0.03119769499	11864.0390625	
0.456736	-6.7248488828125E-07	-1.84606185585937E-06	0	0.03303128059	11864.0390625	
0.460832	-1.99496230828125E-06	-1.8025549282125E-06	0	0.04512530561	11864.0390625	
0.464928	-2.57839209375E-06	-1.75885545268125E-06	0	0.0378559027	11864.0390625	
0.469024	-3.94320268890625E-06	-1.725007890375E-06	0	0.0341505318	11864.0390625	
0.47312	-7.04074763046875E-06	-1.587696489225E-06	0	0.0411410769	11864.0390625	
0.477216	-7.990821114375E-06	-1.52800448160937E-06	0	0.03332159831	11864.0390625	
0.481312	-7.84489509375E-06	-1.59881739156562E-06	0	0.03328339861	11864.0390625	
0.485408	-9.90623728359375E-06	-1.56409771474687E-06	0	0.04500306657	11864.0390625	
0.489504	-1.16354972009375E-05	-1.49179922935312E-06	0	0.0388490949	11864.0390625	
0.4936	-1.24626856148437E-05	-1.49754970437187E-06	0	0.02982250579	11864.0390625	
0.497696	-1.41451321721875E-05	-1.46689132156875E-06	0	0.03674047146	11864.0390625	
0.501792	-1.38758639198437E-05	-1.49632109983125E-06	0	0.03714920825	11864.0390625	
0.505888	-1.25533864998438E-05	-1.62582601840312E-06	0	0.03378381468	11864.0390625	
0.509984	-1.40047835245312E-05	-1.62050535064687E-06	0	0.04298230244	11864.0390625	
0.51408	-1.52778874789063E-05	-1.54207586176875E-06	0	0.04093861849	11864.0390625	
0.518176	-1.47238074757812E-05	-1.58414240624062E-06	0	0.02780174166	11864.0390625	
0.522272	-1.46842172709375E-05	-1.62546351876562E-06	0	0.04035034311	11864.0390625	
0.526368	-1.36741641695312E-05	-1.66903799442187E-06	0	0.04103411774	11864.0390625	
0.530464	-1.11596832840625E-05	-1.81211982249375E-06	0	0.03345911723	11864.0390625	
0.53456	-1.126958496125E-05	-1.83822556561875E-06	0	0.04077053981	11864.0390625	
0.538656	-0.000011530715735	-1.77584966645625E-06	0	0.03879943529	11864.0390625	
0.542752	-9.17368134546875E-06	-1.85416689583125E-06	0	0.02758782334	11864.0390625	
0.546848	-7.250584859375E-06	-1.9589316949125E-06	0	0.03599557731	11864.0390625	
0.550944	-5.85240145875E-06	-1.99265425734375E-06	0	0.04404807407	11864.0390625	
