Time (s)	Encoder (rad)	Torque (Nm)	Marker	Normal force (N)	Gap (um)
0	0	1.7502597882E-06	0	0.01744962296	14773.26953125	
0.00208	4.2634901890625E-07	1.70890478147812E-06	0	0.02820283851	14773.26953125	
0.006176	3.3418521640625E-07	1.7668126562625E-06	0	0.02889807305	14773.26953125	
0.010272	1.77095306609375E-06	1.77142202665312E-06	0	0.01701414638	14773.26953125	
0.014368	3.0726753440625E-06	1.73529658200937E-06	0	0.01796913888	14773.26953125	
0.018464	3.90242386359375E-06	1.74431772683437E-06	0	0.02864595503	14773.26953125	
0.02256	6.19847287984375E-06	1.68357956641875E-06	0	0.0247916053	14773.26953125	
0.026656	6.88421545796875E-06	1.65237695339062E-06	0	0.02518124224	14773.26953125	
0.030752	4.71525739953125E-06	1.82302822504687E-06	0	0.02845113656	14773.26953125	
0.034848	4.34422494859375E-06	1.9326894134625E-06	0	0.01633037175	14773.26953125	
0.038944	5.13072596953125E-06	1.88901613982812E-06	0	0.01717458512	14773.26953125	
0.04304	4.4086847509375E-06	1.92337524008437E-06	0	0.02644183234	14773.26953125	
0.047136	3.45312532640625E-06	1.98596003326875E-06	0	0.02364179433	14773.26953125	
0.051232	1.3548444696875E-06	2.08136955324375E-06	0	0.01701796635	14773.26953125	
0.055328	-2.81538472875E-06	2.29304362041562E-06	0	0.02407345094	14773.26953125	
0.059424	-4.132376208125E-06	2.382841847925E-06	0	0.02222076549	14773.26953125	
0.06352	-3.5934739740625E-06	2.27065662357187E-06	0	0.01818687717	14773.26953125	
0.067616	-5.51108451953125E-06	2.2752544555125E-06	0	0.03232840611	14773.26953125	
0.071712	-7.7064665253125E-06	2.37203368565625E-06	0	0.02727840577	14773.25	
0.075808	-9.2425299003125E-06	2.39794808281875E-06	0	0.01635711154	14773.25	
0.079904	-1.121838284875E-05	2.44680933203437E-06	0	0.02270972165	14773.25	
0.084	-1.14211797871875E-05	2.41902690789375E-06	0	0.02504754329	14773.25	
0.088096	-1.03966803754688E-05	2.28273665956875E-06	0	0.02094489551	14773.25	
0.092192	-1.24036203207812E-05	2.30579721343125E-06	0	0.02785522124	14773.25	
0.096288	-1.43546036717187E-05	2.41656465074063E-06	0	0.02723256613	14773.25	
0.100384	-1.34355257523437E-05	2.34817842105E-06	0	0.01219716421	14773.25	
0.10448	-1.27285708704687E-05	2.235691995075E-06	0	0.02327507721	14773.25	
0.108576	-1.17566450564062E-05	2.175676670475E-06	0	0.02659463114	14773.25	
0.112672	-9.33460227046875E-06	2.0294200859625E-06	0	0.02003192268	14773.25	
0.116768	-8.42137602109375E-06	1.95909251205937E-06	0	0.02616297453	14773.25	
0.120864	-7.76544038703125E-06	1.97466004456875E-06	0	0.0264723921	14773.25	
