participant_id,product,presentation_order,appearance,flavor,texture,shrimp_intensity,firmness,chewiness,overall,purchase,cata_shrimplike,cata_fishy,cata_salty,cata_savory,cata_bland,cata_firm,cata_tender,cata_chewy,cata_rubbery,cata_juicy,cata_naturallooking,cata_appealing_color,cata_fresh_aroma,cata_offflavor,cata_offodor
coast_862618723810,conventional,1,6,7,2,2.0,4.0,3.0,7,3.0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0
coast_b61ca2a92e88,plant_based,1,9,7,7,3.0,3.0,3.0,6,2.0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
coast_75d0d874b1a4,plant_based,2,2,6,7,3.0,2.0,1.0,2,4.0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
coast_45aee3c4075d,plant_based,1,6,2,2,3.0,2.0,2.0,7,2.0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
coast_eae9bd29404a,plant_based,2,6,9,2,3.0,3.0,3.0,2,4.0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
coast_b834dd040958,plant_based,1,1,2,4,4.0,4.0,5.0,5,5.0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0
coast_20c212ba3094,plant_based,1,2,7,2,3.0,3.0,3.0,2,2.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
coast_6f7ad57baa5a,conventional,1,7,6,6,3.0,3.0,4.0,7,3.0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
coast_cac6636312b6,conventional,2,9,9,7,3.0,2.0,2.0,6,2.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
coast_3e0a5c9fc94c,plant_based,2,3,2,3,4.0,2.0,1.0,2,4.0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0
coast_a3621d778efb,plant_based,2,2,6,6,4.0,2.0,2.0,6,2.0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1
coast_03d4dd654634,plant_based,1,7,9,7,4.0,3.0,3.0,7,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
coast_4024c5b0af7e,plant_based,2,7,6,6,3.0,2.0,1.0,7,3.0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0
coast_a8d4fb4d4da0,conventional,1,9,9,9,4.0,3.0,3.0,9,2.0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1
coast_933bdfc7ef88,plant_based,2,7,2,2,3.0,1.0,1.0,6,2.0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0
coast_940c9110dea2,plant_based,1,7,7,6,3.0,2.0,3.0,2,3.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
coast_20265788f74e,plant_based,2,2,4,4,1.0,1.0,1.0,5,5.0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
coast_a6471c39132f,conventional,1,9,9,6,3.0,4.0,4.0,6,1.0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
coast_c7ba2a19a730,plant_based,1,9,9,9,3.0,3.0,3.0,9,2.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
